Symbol,Series,Date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
YESBANK,EQ,09-Nov-2018,215.95,214,229.4,213.2,227.55,227.9,223.71,40754087,9117074690.05,316481,9615898,23.59
YESBANK,EQ,12-Nov-2018,227.9,230,230.85,221.1,222.4,223.05,224.89,29069172,6537241558.05,215991,7184888,24.72
YESBANK,EQ,13-Nov-2018,223.05,222,226.85,220,225.2,225.45,224.11,19014119,4261300974.25,153930,3586558,18.86
YESBANK,EQ,14-Nov-2018,225.45,226.9,229,221,222.05,222.4,224.85,19780790,4447770416.85,151351,5042859,25.49
YESBANK,EQ,15-Nov-2018,222.4,215,217.95,202.25,205.9,205.85,207.43,60944632,12641444551.85,451001,15433021,25.32
YESBANK,EQ,16-Nov-2018,205.85,201.75,201.75,187.8,192.5,191,192.51,88101871,16960170237.65,618873,27993384,31.77
YESBANK,EQ,19-Nov-2018,191,198.1,205.95,194.35,205.95,204.8,202.04,64329717,12997495138.05,460369,12692403,19.73
YESBANK,EQ,20-Nov-2018,204.8,198,199.75,191,192.5,192.1,194.46,77354754,15042043360.4,485357,18642284,24.1
YESBANK,EQ,21-Nov-2018,192.1,196.1,200.8,194.6,198.4,198.15,197.98,47627190,9429019338.7,268166,9967650,20.93
YESBANK,EQ,22-Nov-2018,198.15,200,203.85,194.65,195.65,195.55,199.48,44350629,8847030430.95,293570,6929393,15.62
YESBANK,EQ,26-Nov-2018,195.55,189,191.95,182.2,191.7,187.9,185.95,60418383,11234608917,438924,11646229,19.28
YESBANK,EQ,27-Nov-2018,187.9,193,193.8,180.35,182.2,182.65,187.14,70065939,13111993598.55,445480,15984397,22.81
YESBANK,EQ,28-Nov-2018,182.65,180.4,181,160.3,162,162.1,169.54,140720495,23857832760.85,960213,43933224,31.22
YESBANK,EQ,29-Nov-2018,162.1,157.05,167,146.75,161.05,160.45,156.44,292043464,45687502348,1451205,48934386,16.76
YESBANK,EQ,30-Nov-2018,160.45,164,171.35,160.45,170.5,169.8,168.47,120153166,20241971291.8,654978,18512047,15.41
