Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-08-06,130.41,130.48,128.76,130.14,6136200.0,0.65,1.0,107.9839580341,108.04192043777,106.61770137621,107.76038876281,6136200.0
2010-08-05,130.73,131.98,130.53,131.83,4520600.0,0.0,1.0,107.71095361237,108.74085257983,107.54616977758,108.61726470373,4520600.0
2010-08-04,130.46,131.5,129.85,131.27,4567500.0,0.0,1.0,107.4884954354,108.34537137633,106.98590473928,108.15586996631,4567500.0
2010-08-03,130.03,131.04,129.33,130.37,5091800.0,0.0,1.0,107.1342101906,107.9663685563,106.55746676882,107.41434270975,5091800.0
2010-08-02,129.25,131.2,129.25,130.76,6437500.0,0.0,1.0,106.49155323491,108.09819562414,106.49155323491,107.73567118759,6437500.0
2010-07-30,127.43,128.98,127.04,128.4,6021000.0,0.0,1.0,104.99202033829,106.26909505794,104.67069186044,105.79122193704,6021000.0
2010-07-29,129.06,129.5,127.14,128.02,8994200.0,0.0,1.0,106.33500859185,106.6975330284,104.75308377784,105.47813265093,8994200.0
2010-07-28,128.67,129.35,127.88,128.43,4248800.0,0.0,1.0,106.01368011401,106.5739451523,105.36278396657,105.81593951225,4248800.0
2010-07-27,128.78,129.17,127.89,128.63,4648200.0,0.0,1.0,106.10431122314,106.42563970099,105.37102315831,105.98072334705,4648200.0
2010-07-26,128.18,128.43,127.14,128.41,5174900.0,0.0,1.0,105.60995971876,105.81593951225,104.75308377784,105.79946112878,5174900.0
2010-07-23,127.3,128.8,127.0,128.38,5078000.0,0.0,1.0,104.88491084567,106.12078960662,104.63773509349,105.77474355356,5078000.0
2010-07-22,126.32,127.78,126.05,127.47,6909000.0,0.0,1.0,104.07747005519,105.28039204918,103.85501187822,105.02497710525,6909000.0
2010-07-21,126.44,126.5,124.62,125.27,8615500.0,0.0,1.0,104.17634035607,104.2257755065,102.67680745945,103.21235492253,8615500.0
2010-07-20,122.97,126.56,122.93,126.55,16337400.0,0.0,1.0,101.31734082241,104.27521065694,101.28438405545,104.2669714652,16337400.0
2010-07-19,128.67,130.38,128.37,129.79,8388600.0,0.0,1.0,106.01368011401,107.42258190149,105.76650436182,106.93646958885,8388600.0
2010-07-16,129.96,130.15,127.85,128.03,7002900.0,0.0,1.0,107.07653584842,107.23308049147,105.33806639136,105.48637184267,7002900.0
2010-07-15,129.87,130.92,129.55,130.72,6186800.0,0.0,1.0,107.00238312276,107.86749825543,106.73872898709,107.70271442063,6186800.0
2010-07-14,129.32,131.6,129.14,130.72,6607200.0,0.0,1.0,106.54922757708,108.42776329372,106.40092212577,107.70271442063,6607200.0
2010-07-13,128.97,130.98,128.69,130.48,6687700.0,0.0,1.0,106.2608558662,107.91693340586,106.03015849749,107.50497381888,6687700.0
2010-07-12,127.37,128.83,127.16,128.67,4206900.0,0.0,1.0,104.94258518785,106.14550718184,104.76956216132,106.01368011401,4206900.0
2010-07-09,127.9,128.2,127.29,127.96,3898000.0,0.0,1.0,105.37926235005,105.62643810224,104.87667165394,105.42869750049,3898000.0
2010-07-08,127.37,128.15,126.74,127.97,5439300.0,0.0,1.0,104.94258518785,105.58524214354,104.42351610825,105.43693669223,5439300.0
2010-07-07,123.47,127.12,123.47,127.0,7090300.0,0.0,1.0,101.72930040939,104.73660539436,101.72930040939,104.63773509349,7090300.0
2010-07-06,123.58,124.63,122.17,123.46,6348700.0,0.0,1.0,101.81993151853,102.68504665119,100.65820548324,101.72106121765,6348700.0
2010-07-02,123.29,123.29,120.61,121.86,6454500.0,0.0,1.0,101.58099495808,101.58099495808,99.372891571853,100.40279053931,6454500.0
2010-07-01,123.55,124.21,121.61,122.57,9742100.0,0.0,1.0,101.79521394331,102.33900059812,100.19681074582,100.98777315282,9742100.0
2010-06-30,124.83,125.22,123.0,123.48,8018000.0,0.0,1.0,102.84983048598,103.17115896383,101.34205839763,101.73753960113,8018000.0
2010-06-29,127.35,128.4,124.12,125.09,9376200.0,0.0,1.0,104.92610680437,105.79122193704,102.26484787247,103.06404947121,9376200.0
2010-06-28,127.65,129.47,127.22,128.98,6335100.0,0.0,1.0,105.17328255656,106.67281545318,104.81899731176,106.26909505794,6335100.0
2010-06-25,128.34,129.095,127.12,127.12,10420400.0,0.0,1.0,105.7417867866,106.36384576294,104.73660539436,104.73660539436,10420400.0
2010-06-24,129.57,129.73,127.7,128.19,5565500.0,0.0,1.0,106.75520737057,106.88703443841,105.21447851526,105.6181989105,5565500.0
2010-06-23,129.25,131.47,129.09,130.11,6855800.0,0.0,1.0,106.49155323491,108.32065380111,106.35972616707,107.20012372451,6855800.0
2010-06-22,130.37,131.47,129.07,129.3,6030200.0,0.0,1.0,107.41434270975,108.32065380111,106.34324778359,106.5327491936,6030200.0
2010-06-21,131.42,131.94,130.22,130.65,6857800.0,0.0,1.0,108.27945784241,108.70789581287,107.29075483365,107.64504007846,6857800.0
2010-06-18,131.02,131.25,130.13,130.15,9581400.0,0.0,1.0,107.94989017282,108.13939158283,107.21660210799,107.23308049147,9581400.0
2010-06-17,130.07,131.03,129.86,130.98,5571000.0,0.0,1.0,107.16716695756,107.95812936456,106.99414393102,107.91693340586,5571000.0
2010-06-16,128.34,130.68,128.34,130.35,6401000.0,0.0,1.0,105.7417867866,107.66975765367,105.7417867866,107.39786432627,6401000.0
2010-06-15,128.93,129.95,128.37,129.79,6652500.0,0.0,1.0,106.22789909924,107.06829665668,105.76650436182,106.93646958885,6652500.0
2010-06-14,128.5,129.97,128.49,128.5,6753000.0,0.0,1.0,105.87361385443,107.08477504016,105.86537466269,105.87361385443,6753000.0
2010-06-11,126.73,128.8,126.44,128.45,5820200.0,0.0,1.0,104.41527691652,106.12078960662,104.17634035607,105.83241789573,5820200.0
2010-06-10,125.99,128.22,125.8,127.68,7479700.0,0.0,1.0,103.80557672778,105.64291648572,103.64903208473,105.19800013178,7479700.0
2010-06-09,124.83,125.84,123.58,123.9,7795500.0,0.0,1.0,102.84983048598,103.68198885169,101.81993151853,102.0835856542,7795500.0
2010-06-08,124.26,124.46,122.82,123.72,8399200.0,0.0,1.0,102.38019655682,102.54498039162,101.19375294631,101.93528020288,8399200.0
2010-06-07,125.57,125.86,124.13,124.13,6951400.0,0.0,1.0,103.45953067472,103.69846723517,102.27308706421,102.27308706421,6951400.0
2010-06-04,126.37,127.1,124.67,125.28,9669200.0,0.0,1.0,104.11866601389,104.72012701088,102.71800341815,103.22059411427,9669200.0
2010-06-03,127.75,128.22,126.46,127.96,6645300.0,0.0,1.0,105.25567447396,105.64291648572,104.19281873954,105.42869750049,6645300.0
2010-06-02,124.85,127.5,124.35,127.41,7705300.0,0.0,1.0,102.86630886946,105.04969468047,102.45434928248,104.97554195481,7705300.0
2010-06-01,124.69,126.88,124.2,124.34,7135400.0,0.0,1.0,102.73448180163,104.53886479261,102.33076140639,102.44611009074,7135400.0
2010-05-28,125.96,126.2794,124.29,125.26,7421900.0,0.0,1.0,103.78085915256,104.04401893673,102.40491413204,103.20411573079,7421900.0
2010-05-27,125.05,126.39,124.77,126.39,7725900.0,0.0,1.0,103.03109270425,104.13514439737,102.80039533554,104.13514439737,7725900.0
2010-05-26,124.89,125.94,123.0,123.23,9083200.0,0.0,1.0,102.89926563642,103.76438076908,101.34205839763,101.53155980764,9083200.0
2010-05-25,121.47,124.95,121.47,124.52,9494800.0,0.0,1.0,100.08146206146,102.94870078686,100.08146206146,102.59441554205,9494800.0
2010-05-24,125.26,126.02,124.04,124.45,6868600.0,0.0,1.0,103.20411573079,103.830294303,102.19893433855,102.53674119988,6868600.0
2010-05-21,122.16,125.61,121.4,125.42,12639500.0,0.0,1.0,100.6499662915,103.49248744167,100.02378771928,103.33594279862,12639500.0
2010-05-20,127.22,127.96,123.68,123.8,13176500.0,0.0,1.0,104.81899731176,105.42869750049,101.90232343592,102.0011937368,13176500.0
2010-05-19,129.37,130.5,127.82,128.86,8669300.0,0.0,1.0,106.59042353578,107.52145220236,105.31334881614,106.17022475706,8669300.0
2010-05-18,131.26,131.99,129.9,129.95,9330000.0,0.0,1.0,108.14763077457,108.74909177157,107.02710069798,107.06829665668,9330000.0
2010-05-17,130.68,131.76,128.7,130.44,8923400.0,0.0,1.0,107.66975765367,108.55959036156,106.03839768923,107.47201705192,8923400.0
2010-05-14,131.06,131.67,129.41,131.19,9920100.0,0.0,1.0,107.98284693978,108.4854376359,106.62338030274,108.0899564324,9920100.0
2010-05-13,130.93,133.1,130.85,131.48,10497800.0,0.0,1.0,107.87573744717,109.66364205467,107.80982391325,108.32889299285,10497800.0
2010-05-12,127.16,132.85,127.01,132.68,16626900.0,0.0,1.0,104.76956216132,109.45766226118,104.64597428523,109.3175960016,16626900.0
2010-05-11,125.21,128.42,125.15,126.89,6498900.0,0.0,1.0,103.16291977209,105.80770032052,103.11348462165,104.54710398435,6498900.0
2010-05-10,126.27,126.67,125.06,126.27,8463900.0,0.0,1.0,104.03627409649,104.36584176608,103.03933189599,104.03627409649,8463900.0
2010-05-07,123.36,124.39,120.0,122.1,10584800.0,0.0,1.0,101.63866930025,102.48730604944,98.870300875734,100.60053114106,10584800.0
2010-05-06,126.29,127.93,116.0,123.92,13168800.0,0.65,1.0,104.05275247997,105.40397992527,95.574624179877,102.10006403767,13168800.0
2010-05-05,127.12,128.23,126.87,127.46,6072800.0,0.0,1.0,104.19009505073,105.09987325641,103.98519004945,104.46876585247,6072800.0
2010-05-04,128.89,128.93,126.5754,128.12,8285000.0,0.0,1.0,105.64082245979,105.67360725999,103.74372999594,105.00971505585,8285000.0
2010-05-03,129.39,130.14,128.8,129.6,4992100.0,0.0,1.0,106.05063246235,106.66534746619,105.56705665933,106.22275266342,4992100.0
2010-04-30,130.43,130.636,128.84,129.0,6266700.0,0.0,1.0,106.90303726767,107.07187898873,105.59984145953,105.73098066035,6266700.0
2010-04-29,130.55,131.21,130.15,130.46,5786900.0,0.0,1.0,107.00139166829,107.54234087167,106.67354366624,106.92762586783,5786900.0
2010-04-28,129.4,130.47,129.03,130.1,7122300.0,0.0,1.0,106.0588286624,106.93582206788,105.75556926051,106.63256266598,7122300.0
2010-04-27,129.9,132.0,128.71,128.82,10916700.0,0.0,1.0,106.46863866496,108.18984067571,105.49329085887,105.58344905943,10916700.0
2010-04-26,129.76,131.04,129.54,130.73,5285400.0,0.0,1.0,106.35389186424,107.40300547079,106.17357546312,107.14892326921,5285400.0
2010-04-23,129.08,130.1,128.71,129.99,6197300.0,0.0,1.0,105.79655026076,106.63256266598,105.49329085887,106.54240446542,6197300.0
2010-04-22,128.64,129.36,127.77,129.13,6018500.0,0.0,1.0,105.43591745851,106.0260438622,104.72284805406,105.83753126102,6018500.0
2010-04-21,129.87,130.27,128.5,128.99,7559200.0,0.0,1.0,106.44405006481,106.77189806685,105.32117065779,105.7227844603,7559200.0
2010-04-20,129.2,130.33,128.26,129.69,15216500.0,0.0,1.0,105.89490466138,106.82107526716,105.12446185656,106.29651846388,15216500.0
2010-04-19,130.38,132.28,130.38,132.23,11353700.0,0.0,1.0,106.86205626742,108.41933427714,106.86205626742,108.37835327689,11353700.0
2010-04-16,130.68,132.17,130.25,130.63,9546200.0,0.0,1.0,107.10794226895,108.32917607658,106.75550566675,107.0669612687,9546200.0
2010-04-15,130.53,131.14,130.1902,130.89,6425300.0,0.0,1.0,106.98499926818,107.48496747131,106.70649239044,107.28006247003,6425300.0
2010-04-14,129.73,131.42,129.46,131.25,8545800.0,0.0,1.0,106.32930326409,107.71446107274,106.10800586271,107.57512567187,8545800.0
2010-04-13,128.26,129.435,127.84,129.03,6819100.0,0.0,1.0,105.12446185656,106.08751536258,104.78022145441,105.75556926051,6819100.0
2010-04-12,128.57,128.956,128.24,128.36,3992300.0,0.0,1.0,105.37854405815,105.69491738013,105.10806945646,105.20642385708,3992300.0
2010-04-09,127.88,128.87,127.12,128.76,5185100.0,0.0,1.0,104.81300625462,105.62443005969,104.19009505073,105.53427185912,5185100.0
2010-04-08,128.04,128.23,127.2,127.61,6006900.0,0.0,1.0,104.94414545544,105.09987325641,104.25566465114,104.59170885324,6006900.0
2010-04-07,128.53,129.27,128.01,128.48,5157000.0,0.0,1.0,105.34575925795,105.95227806173,104.91955685528,105.30477825769,5157000.0
2010-04-06,128.68,129.3,128.05,128.93,3926300.0,0.0,1.0,105.46870225871,105.97686666189,104.95234165549,105.67360725999,3926300.0
2010-04-05,128.38,129.8,128.14,129.35,4118700.0,0.0,1.0,105.22281625718,106.38667666445,105.02610745595,106.01784766214,4118700.0
2010-04-01,128.95,129.31,127.55,128.25,4980500.0,0.0,1.0,105.6899996601,105.98506286194,104.54253165293,105.11626565651,4980500.0
2010-03-31,128.23,128.75,127.65,128.25,4904800.0,0.0,1.0,105.09987325641,105.52607565907,104.62449365344,105.11626565651,4904800.0
2010-03-30,128.9,129.13,128.25,128.77,3426600.0,0.0,1.0,105.64901865984,105.83753126102,105.11626565651,105.54246805917,3426600.0
