"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"YESBANK","EQ","28-Sep-2017","        353.20","        353.50","        355.45","        347.30","        351.20","        350.80","        351.02","   11672921","          4097425815.95","     118130","    6446855","         55.23"
"YESBANK","EQ","29-Sep-2017","        350.80","        353.70","        353.90","        345.10","        349.30","        350.00","        348.90","   10421179","          3635902289.60","     117259","    5728523","         54.97"
"YESBANK","EQ","03-Oct-2017","        350.00","        354.90","        354.90","        347.50","        351.00","        351.05","        351.24","    8078173","          2837344251.95","     131516","    4500779","         55.72"
"YESBANK","EQ","04-Oct-2017","        351.05","        352.70","        357.50","        351.05","        356.85","        355.80","        355.25","    7252399","          2576396830.55","     100927","    3712413","         51.19"
"YESBANK","EQ","05-Oct-2017","        355.80","        357.30","        367.50","        357.00","        359.95","        359.45","        362.77","   10552658","          3828201209.95","     112830","    3365722","         31.89"
"YESBANK","EQ","06-Oct-2017","        359.45","        360.60","        366.80","        360.60","        365.80","        365.80","        365.09","    4977073","          1817076174.60","      57552","    1687051","         33.90"
"YESBANK","EQ","09-Oct-2017","        365.80","        367.90","        372.65","        363.15","        372.00","        370.90","        368.20","    5402776","          1989314107.70","      75157","    2089183","         38.67"
"YESBANK","EQ","10-Oct-2017","        370.90","        372.00","        374.00","        371.00","        372.60","        372.90","        372.80","    5475930","          2041430856.40","      74118","    2557864","         46.71"
"YESBANK","EQ","11-Oct-2017","        372.90","        374.20","        375.00","        362.00","        362.55","        363.00","        367.78","    7532154","          2770160887.75","     101556","    3408774","         45.26"
"YESBANK","EQ","12-Oct-2017","        363.00","        363.10","        367.65","        359.00","        367.10","        365.40","        362.61","    7573094","          2746046351.60","      96484","    3691672","         48.75"
"YESBANK","EQ","13-Oct-2017","        365.40","        366.00","        373.05","        365.95","        369.90","        369.70","        370.07","    5848807","          2164465745.20","      82880","    3046568","         52.09"
"YESBANK","EQ","16-Oct-2017","        369.70","        374.00","        374.20","        365.75","        368.50","        367.70","        368.76","    5086334","          1875614707.15","      68788","    2174208","         42.75"
"YESBANK","EQ","17-Oct-2017","        367.70","        369.00","        375.90","        368.00","        373.30","        373.55","        373.55","    6984827","          2609182703.35","     123493","    3244402","         46.45"
"YESBANK","EQ","18-Oct-2017","        373.55","        366.00","        368.00","        359.00","        364.00","        362.40","        363.01","   12849346","          4664497899.85","     145398","    6881727","         53.56"
"YESBANK","EQ","19-Oct-2017","        362.40","        364.40","        365.30","        355.00","        356.00","        357.80","        360.43","    1935015","           697439018.20","      26172","    1017645","         52.59"
"YESBANK","EQ","23-Oct-2017","        357.80","        358.00","        364.55","        351.00","        354.70","        353.90","        356.34","    9451524","          3367996677.75","     125554","    4484081","         47.44"
"YESBANK","EQ","24-Oct-2017","        353.90","        355.70","        363.40","        344.60","        346.45","        347.60","        353.91","   12420114","          4395542767.35","     140778","    7059283","         56.84"
"YESBANK","EQ","25-Oct-2017","        347.60","        356.00","        356.00","        312.85","        330.60","        326.90","        332.47","   33427154","         11113650209.10","     359455","   17657571","         52.82"
"YESBANK","EQ","26-Oct-2017","        326.90","        331.90","        338.65","        318.00","        332.50","        331.20","        331.03","   26581626","          8799243047.45","     243645","    9257305","         34.83"
"YESBANK","EQ","27-Oct-2017","        331.20","        307.00","        313.50","        298.55","        307.70","        307.05","        306.74","   80906668","         24817707767.90","     595020","   37875787","         46.81"
"YESBANK","EQ","30-Oct-2017","        307.05","        311.50","        317.45","        308.10","        315.15","        314.85","        314.03","   23574790","          7403185848.65","     193194","   13483999","         57.20"
"YESBANK","EQ","31-Oct-2017","        314.85","        317.50","        319.25","        311.30","        314.60","        314.25","        316.01","   11811133","          3732480163.90","     130930","    5470738","         46.32"
"YESBANK","EQ","01-Nov-2017","        314.25","        317.00","        320.50","        316.45","        318.80","        318.80","        318.86","    9265421","          2954400992.10","     100197","    3856069","         41.62"
"YESBANK","EQ","02-Nov-2017","        318.80","        321.00","        323.90","        318.20","        320.20","        320.45","        321.12","    9244908","          2968712800.90","     128485","    3368788","         36.44"
"YESBANK","EQ","03-Nov-2017","        320.45","        322.45","        328.00","        321.70","        326.10","        325.95","        325.48","   12865964","          4187569908.95","     151260","    7380320","         57.36"
"YESBANK","EQ","06-Nov-2017","        325.95","        327.00","        329.00","        317.80","        319.50","        319.65","        324.01","    9427134","          3054471939.05","     135417","    4820322","         51.13"
"YESBANK","EQ","07-Nov-2017","        319.65","        323.00","        323.00","        305.50","        310.40","        311.70","        310.71","   30444032","          9459219683.50","     307578","   15380160","         50.52"
"YESBANK","EQ","08-Nov-2017","        311.70","        313.20","        313.65","        301.85","        304.40","        303.80","        304.93","   25323557","          7721864365.85","     290914","   14290387","         56.43"
